customer_id,age,tenure_months,monthly_charges,total_charges,support_calls,contract,internet_service,churned,last_call_outcome
C00073,18,51,84.43,4290.33,0,month-to-month,dsl,0,no_contact
C00074,42,32,50.79,1646.01,1,month-to-month,dsl,1,cancelled
C00075,31,18,44.75,927.57,0,one-year,satellite,0,resolved
C00076,56,13,44.52,599.05,0,two-year,none,1,escalated
C00077,18,72,67.88,4864.47,0,month-to-month,dsl,0,resolved
C00078,27,13,,1081.89,2,two-year,fiber,1,cancelled
C00079,46,28,115.21,3163.01,1,month-to-month,none,1,cancelled
C00080,58,12,,870.34,1,one-year,fiber,0,no_contact
C00081,18,24,31.53,744.23,2,one-year,dsl,0,no_contact
C00082,69,26,75.05,2031.94,4,one-year,none,1,cancelled
C00083,51,10,25.16,257.22,2,month-to-month,satellite,1,cancelled
C00084,32,14,42.82,616.96,2,month-to-month,fiber,1,unresolved
C00085,28,39,90.98,3534.32,1,month-to-month,dsl,1,cancelled
C00086,63,72,55.83,3960.7,2,month-to-month,fiber,0,resolved
C00087,20,23,41.5,1004.13,1,month-to-month,dsl,0,no_contact
C00088,88,20,113.06,2241.4,1,month-to-month,fiber,1,escalated
C00089,18,8,48.07,,1,one-year,satellite,1,escalated
C00090,-1,18,101.81,1747.91,0,one-year,fiber,0,no_contact
C00091,71,44,87.61,3780.58,1,two-year,fiber,0,resolved
C00092,43,24,56.05,1363.71,1,two-year,dsl,0,no_contact
C00093,55,16,115.22,1848.45,2,month-to-month,dsl,1,cancelled
C00094,35,8,46.78,373.19,0,month-to-month,dsl,1,escalated
C00095,33,27,,,1,month-to-month,fiber,0,no_contact
C00096,63,25,28.21,743.68,0,month-to-month,dsl,0,resolved
C00097,54,16,48.37,751.95,2,one-year,dsl,1,cancelled
C00098,54,38,92.31,3452.3,0,two-year,dsl,0,no_contact
C00099,53,50,79.32,3926.26,1,one-year,none,0,resolved
C00100,52,10,62.01,646.84,3,two-year,fiber,1,cancelled
C00101,51,7,99.31,714.16,1,one-year,fiber,1,cancelled
C00102,61,43,101.9,4339.0,0,one-year,dsl,0,no_contact
C00103,31,6,44.18,226.97,2,month-to-month,dsl,1,cancelled
C00104,45,30,67.85,2031.42,1,two-year,fiber,0,resolved
C00105,57,35,81.35,2846.37,0,two-year,none,0,no_contact
C00106,54,30,122.66,3604.22,2,two-year,dsl,1,cancelled
C00107,27,7,92.69,704.96,1,month-to-month,dsl,1,cancelled
C00108,61,21,106.06,2177.77,4,month-to-month,fiber,1,cancelled
C00109,66,35,99.71,3478.22,1,two-year,dsl,0,no_contact
C00110,47,17,62.59,1048.9,0,two-year,dsl,0,resolved
C00111,18,23,58.76,1434.7,1,month-to-month,none,1,escalated
C00112,42,21,51.98,1076.86,1,one-year,dsl,0,resolved
C00113,40,1,43.57,34.37,0,month-to-month,fiber,1,unresolved
C00114,47,21,118.32,2551.15,2,two-year,dsl,0,no_contact
C00115,41,15,77.49,1194.85,1,two-year,none,0,resolved
C00116,34,9,37.78,327.1,1,month-to-month,dsl,0,no_contact
C00117,54,7,35.45,276.09,0,two-year,fiber,0,resolved
C00118,18,34,36.01,1174.23,1,one-year,dsl,0,resolved
C00119,39,20,43.48,908.52,2,two-year,fiber,0,resolved
C00120,31,28,93.22,2522.83,1,month-to-month,dsl,1,escalated
C00121,27,15,58.64,921.62,2,two-year,satellite,0,resolved
C00122,63,39,68.21,2624.76,2,month-to-month,none,0,no_contact
C00123,43,44,53.12,2314.24,1,month-to-month,fiber,0,resolved
C00124,31,16,66.22,1098.75,0,month-to-month,dsl,1,escalated
C00125,20,20,42.61,862.51,0,month-to-month,none,1,unresolved
C00126,68,7,25.54,142.04,1,one-year,none,0,resolved
C00127,72,23,89.43,,1,two-year,fiber,1,unresolved
C00128,47,72,89.42,6470.2,1,month-to-month,fiber,0,resolved
C00129,55,21,61.05,1294.7,1,,dsl,0,no_contact
C00130,40,15,97.88,1369.57,3,month-to-month,dsl,1,cancelled
C00131,45,28,89.67,2388.8,2,month-to-month,fiber,0,no_contact
C00132,42,21,66.89,1440.8,0,two-year,dsl,0,no_contact
C00133,59,42,,1844.28,1,one-year,dsl,0,resolved
C00134,72,16,25.88,413.87,0,month-to-month,dsl,0,resolved
C00135,36,10,83.99,952.95,0,month-to-month,none,1,cancelled
C00136,28,47,53.15,2481.47,1,two-year,dsl,0,no_contact
C00137,18,4,136.34,602.77,1,one-year,fiber,1,cancelled
C00138,27,24,91.01,2190.89,1,month-to-month,dsl,1,cancelled
C00139,24,18,53.27,972.36,1,month-to-month,dsl,0,no_contact
C00140,40,34,24.42,845.28,0,month-to-month,none,0,no_contact
C00141,73,46,68.19,3079.87,2,,dsl,0,resolved
C00142,68,14,35.19,531.27,1,one-year,satellite,1,cancelled
C00143,71,5,110.36,547.42,3,two-year,dsl,1,cancelled
C00144,35,57,73.15,4129.44,1,month-to-month,dsl,0,resolved
C00145,42,26,127.69,3278.81,1,month-to-month,fiber,1,cancelled
C00146,49,9,45.21,423.4,0,two-year,fiber,1,cancelled
C00147,46,35,98.75,3505.0,2,two-year,fiber,0,resolved
C00148,31,17,57.08,915.75,1,two-year,dsl,0,resolved
C00149,42,19,117.43,2217.94,1,month-to-month,none,1,escalated
C00150,52,11,,1055.76,0,two-year,fiber,0,no_contact
C00151,62,45,75.68,3359.25,0,month-to-month,dsl,0,resolved
C00152,38,26,44.35,1129.97,1,month-to-month,fiber,1,cancelled
C00153,36,23,106.26,2451.12,1,one-year,fiber,0,resolved
C00154,23,30,74.61,2332.35,1,month-to-month,dsl,1,cancelled
C00155,50,25,52.02,1271.33,2,,fiber,1,cancelled
C00156,82,31,57.64,1739.45,0,month-to-month,dsl,0,resolved
C00157,60,37,42.16,1606.34,2,month-to-month,dsl,0,resolved
C00158,69,27,75.46,1975.43,1,month-to-month,none,0,no_contact
C00159,69,15,91.63,1362.92,1,two-year,dsl,1,escalated
C00160,40,7,84.61,550.65,1,month-to-month,fiber,0,no_contact
C00161,79,36,103.3,3730.06,2,month-to-month,fiber,0,resolved
C00162,44,5,,,1,month-to-month,dsl,1,cancelled
C00163,33,24,56.01,1401.1,0,month-to-month,dsl,0,no_contact
C00164,24,15,76.22,1232.86,1,month-to-month,dsl,1,cancelled
C00165,18,4,73.08,290.78,0,month-to-month,fiber,1,cancelled
C00166,57,36,,2257.21,0,two-year,fiber,0,no_contact
C00167,49,30,66.88,1923.76,0,month-to-month,none,0,no_contact
C00168,87,12,97.36,1201.68,3,one-year,fiber,1,cancelled
C00169,43,40,84.53,3339.32,1,month-to-month,dsl,0,no_contact
C00170,25,72,94.93,6764.19,0,month-to-month,fiber,1,unresolved
C00171,39,42,,4186.41,1,month-to-month,none,0,resolved
C00172,33,15,26.98,297.93,3,month-to-month,fiber,1,cancelled
C00173,58,30,79.68,2351.54,1,month-to-month,none,1,escalated
C00174,18,23,56.43,1321.48,0,two-year,dsl,0,resolved
C00175,72,24,60.34,1494.75,2,month-to-month,fiber,0,no_contact
C00176,50,72,69.02,5029.76,1,month-to-month,satellite,0,resolved
C00177,64,57,67.51,3807.58,0,month-to-month,dsl,0,resolved
C00178,46,29,98.7,2867.73,2,two-year,fiber,1,cancelled
C00179,54,56,82.67,4708.51,1,month-to-month,none,0,resolved
C00180,18,28,46.47,1309.79,2,month-to-month,fiber,0,resolved
C00181,44,58,,4584.11,3,month-to-month,dsl,0,resolved
C00182,36,14,74.95,1019.28,1,month-to-month,fiber,0,resolved
C00183,47,7,52.98,416.16,1,two-year,fiber,0,no_contact
C00184,25,20,52.67,1056.87,0,month-to-month,dsl,1,cancelled
C00185,36,16,140.61,2195.6,1,one-year,fiber,0,resolved
C00186,18,72,50.56,3573.7,2,month-to-month,fiber,0,no_contact
C00187,28,43,61.19,2667.46,2,month-to-month,dsl,1,cancelled
C00188,31,42,59.5,2463.15,1,month-to-month,fiber,0,resolved
C00189,42,8,70.4,521.85,4,one-year,fiber,1,cancelled
C00190,48,41,37.42,1512.36,2,month-to-month,fiber,1,cancelled
C00191,63,23,67.99,1500.8,3,two-year,fiber,1,cancelled
C00192,59,14,50.21,759.72,1,month-to-month,dsl,1,cancelled
C00193,57,22,76.14,1625.94,0,month-to-month,fiber,0,no_contact
C00194,38,23,115.99,2640.86,0,month-to-month,dsl,1,escalated
C00195,35,26,96.96,2534.93,0,month-to-month,fiber,0,escalated
C00196,54,15,,1095.08,2,one-year,dsl,1,cancelled
C00197,49,2,57.18,,0,month-to-month,fiber,1,cancelled
C00198,61,8,80.17,652.41,1,one-year,dsl,1,cancelled
C00199,47,56,65.51,3662.71,2,month-to-month,fiber,0,no_contact
C00200,42,20,89.68,1792.14,1,month-to-month,fiber,1,unresolved
C00201,34,17,57.09,,0,two-year,dsl,0,no_contact
C00202,52,14,18.0,261.99,2,month-to-month,fiber,0,no_contact
C00203,32,43,,2863.48,0,month-to-month,none,0,resolved
C00204,40,15,59.97,883.81,0,month-to-month,fiber,1,cancelled
C00205,30,15,56.25,906.9,4,month-to-month,fiber,1,cancelled
C00206,36,10,48.5,495.07,0,month-to-month,dsl,1,cancelled
C00207,50,37,67.73,2478.92,4,month-to-month,fiber,1,cancelled
C00208,18,11,66.97,732.98,0,month-to-month,dsl,1,escalated
C00209,64,28,39.07,1130.04,1,month-to-month,dsl,0,resolved
C00210,30,22,84.2,1853.8,1,month-to-month,none,0,resolved
C00211,55,1,48.94,9.8,2,month-to-month,dsl,1,unresolved
C00212,36,44,95.93,4264.14,0,two-year,none,0,no_contact
C00213,49,54,95.82,5208.83,1,two-year,fiber,0,no_contact
C00214,45,17,,1203.66,0,one-year,dsl,0,no_contact
C00215,60,15,36.71,553.5,0,month-to-month,none,0,resolved
C00216,55,59,,6072.44,4,one-year,dsl,0,no_contact
C00217,50,46,43.55,1938.65,2,month-to-month,none,0,no_contact
C00218,23,72,111.95,8064.23,1,month-to-month,fiber,0,no_contact
C00219,24,8,53.22,431.47,0,month-to-month,dsl,1,escalated
C00220,25,7,69.73,504.01,1,one-year,none,1,cancelled
C00221,51,41,,1736.16,0,one-year,fiber,0,resolved
C00222,19,24,81.39,1961.02,3,month-to-month,dsl,1,cancelled
C00223,60,7,88.96,617.59,0,month-to-month,fiber,0,no_contact
C00224,59,13,84.4,1100.18,2,month-to-month,fiber,1,cancelled
C00225,49,17,59.35,996.32,1,month-to-month,fiber,1,cancelled
C00226,33,17,79.9,1287.32,1,month-to-month,fiber,1,escalated
C00227,28,18,49.21,892.97,0,one-year,dsl,1,escalated
C00228,35,11,,685.0,0,month-to-month,satellite,0,resolved
C00229,35,7,68.54,,1,month-to-month,fiber,0,resolved
C00230,28,16,155.25,2491.71,1,one-year,fiber,1,unresolved
C00231,33,33,64.85,2202.05,2,month-to-month,none,1,cancelled
C00232,64,15,,1439.57,0,two-year,dsl,0,resolved
C00233,58,53,56.69,3109.33,2,two-year,satellite,0,no_contact
C00234,44,29,,1893.5,1,month-to-month,fiber,1,cancelled
C00235,48,6,71.27,384.86,0,month-to-month,none,1,cancelled
C00236,49,15,55.75,832.55,0,month-to-month,dsl,1,cancelled
C00237,47,26,81.36,2208.87,0,month-to-month,dsl,1,cancelled
C00238,37,39,18.0,765.16,2,one-year,fiber,0,no_contact
C00239,51,23,18.0,466.6,0,month-to-month,none,0,no_contact
C00240,28,7,54.49,368.32,4,month-to-month,fiber,1,cancelled
C00241,49,3,52.53,65.51,3,month-to-month,dsl,1,cancelled
C00242,29,72,58.07,4121.9,1,one-year,dsl,0,resolved
C00243,22,22,97.73,2093.61,1,month-to-month,dsl,0,no_contact
C00244,32,8,88.33,,1,one-year,satellite,0,resolved
C00245,60,28,57.37,1608.82,0,two-year,dsl,0,no_contact
C00246,45,72,89.42,6336.06,1,one-year,dsl,0,resolved
C00247,62,22,100.61,2192.49,0,one-year,fiber,0,no_contact
C00248,35,13,69.96,960.05,2,month-to-month,dsl,1,escalated
C00249,79,39,40.12,1524.01,2,one-year,dsl,0,resolved
C00250,51,17,63.56,1133.55,2,one-year,dsl,0,no_contact
C00251,40,17,114.3,1902.4,1,one-year,dsl,1,cancelled
C00252,18,1,67.08,51.23,0,month-to-month,fiber,0,no_contact
C00253,19,18,42.28,725.05,4,one-year,fiber,0,no_contact
C00254,64,30,52.28,,0,month-to-month,fiber,1,cancelled
C00255,52,5,107.72,452.77,3,month-to-month,fiber,0,no_contact
C00256,33,72,95.25,6799.55,1,month-to-month,none,0,resolved
C00257,52,17,120.49,2097.59,0,month-to-month,fiber,1,cancelled
C00258,73,4,52.02,152.81,1,month-to-month,fiber,1,escalated
C00259,48,12,86.63,1051.84,1,month-to-month,dsl,0,resolved
C00260,18,18,71.59,1206.13,0,month-to-month,fiber,1,cancelled
C00261,69,42,62.81,2663.75,2,month-to-month,dsl,0,resolved
C00262,48,5,61.68,344.75,1,month-to-month,none,1,cancelled
C00263,44,7,84.0,,5,one-year,fiber,1,cancelled
C00264,39,21,101.31,2145.05,1,month-to-month,fiber,0,resolved
C00265,20,19,83.97,1573.21,2,two-year,fiber,0,resolved
C00266,61,63,68.01,4267.04,0,month-to-month,satellite,0,no_contact
C00267,67,20,35.28,732.92,2,two-year,fiber,1,cancelled
C00268,59,9,47.78,443.92,1,month-to-month,fiber,1,cancelled
C00269,54,21,58.57,1231.3,0,two-year,none,0,resolved
C00270,61,35,53.78,1848.18,0,month-to-month,fiber,0,resolved
C00271,32,34,80.29,2716.79,1,month-to-month,fiber,1,cancelled
C00272,70,28,101.1,2869.23,1,two-year,fiber,1,cancelled
C00273,47,25,64.48,1636.57,0,two-year,dsl,0,no_contact
C00274,54,6,64.07,350.81,2,one-year,dsl,1,cancelled
C00275,22,48,18.0,819.13,2,one-year,dsl,0,resolved
C00276,73,16,80.71,,2,month-to-month,dsl,1,cancelled
C00277,39,20,76.71,1574.38,1,two-year,dsl,0,resolved
C00278,28,29,82.91,2365.23,2,month-to-month,fiber,1,cancelled
C00279,43,4,18.0,99.76,1,two-year,none,0,resolved
C00280,47,57,68.27,3912.18,1,month-to-month,fiber,0,no_contact
C00281,21,16,68.74,1093.38,1,month-to-month,dsl,0,no_contact
C00282,30,12,66.02,,1,month-to-month,dsl,0,no_contact
C00283,64,30,71.77,2123.61,0,one-year,fiber,0,resolved
C00284,42,15,77.75,1228.93,0,one-year,dsl,1,cancelled
C00285,66,6,42.66,272.93,2,two-year,fiber,0,escalated
C00286,48,25,103.56,2582.25,0,month-to-month,dsl,0,no_contact
C00287,34,4,55.46,154.2,0,month-to-month,fiber,1,cancelled
C00288,28,9,49.32,543.66,2,month-to-month,none,0,no_contact
C00289,67,20,90.91,1748.21,3,month-to-month,fiber,1,cancelled
C00290,40,10,65.05,661.08,2,month-to-month,dsl,0,resolved
C00291,36,11,,916.92,1,month-to-month,fiber,0,resolved
C00292,57,24,137.49,,3,month-to-month,none,1,cancelled
C00293,54,32,50.57,1678.25,4,two-year,fiber,0,resolved
C00294,18,12,69.66,,1,,dsl,1,cancelled
C00295,39,12,,,0,two-year,fiber,0,no_contact
C00296,44,9,50.52,522.34,0,one-year,dsl,0,no_contact
C00297,39,46,67.73,3101.27,0,two-year,dsl,0,no_contact
C00298,54,35,88.73,3144.1,0,month-to-month,none,1,cancelled
C00299,68,9,37.25,273.79,2,month-to-month,fiber,0,resolved
C00300,38,33,58.65,1957.85,1,two-year,fiber,0,no_contact
C00301,51,11,62.1,,1,month-to-month,fiber,1,cancelled
C00302,45,14,78.56,,1,month-to-month,fiber,1,escalated
C00303,66,72,109.49,7835.36,0,month-to-month,none,0,no_contact
C00304,41,15,41.46,644.97,1,month-to-month,fiber,1,escalated
C00305,37,31,28.11,946.36,1,month-to-month,dsl,0,resolved
C00306,63,7,93.86,632.43,1,two-year,fiber,1,cancelled
C00307,25,62,74.6,4641.26,1,month-to-month,fiber,0,no_contact
C00308,18,15,103.89,1527.83,1,month-to-month,dsl,1,unresolved
C00309,48,31,98.51,3073.78,1,one-year,fiber,0,escalated
C00310,52,10,71.17,699.49,0,month-to-month,none,1,cancelled
C00311,29,59,43.77,2570.56,0,one-year,dsl,0,no_contact
C00312,42,34,44.06,1562.04,5,one-year,none,0,no_contact
C00313,51,9,72.37,664.4,0,month-to-month,dsl,0,resolved
C00314,41,4,85.82,240.76,2,month-to-month,fiber,1,cancelled
C00315,52,28,138.71,3853.98,1,two-year,dsl,0,resolved
C00316,70,46,81.01,3748.22,2,month-to-month,fiber,0,resolved
C00317,36,10,63.38,733.3,0,two-year,fiber,0,resolved
C00318,56,1,60.12,79.22,2,month-to-month,fiber,1,cancelled
C00319,40,11,61.49,676.4,2,month-to-month,fiber,1,cancelled
C00320,51,2,54.84,,3,month-to-month,fiber,1,cancelled
C00321,62,26,68.86,1815.43,1,month-to-month,fiber,0,no_contact
C00322,53,65,82.33,5309.32,0,month-to-month,none,0,no_contact
C00323,58,19,64.74,1242.98,1,month-to-month,none,1,cancelled
C00324,18,43,74.37,3118.05,0,one-year,fiber,0,resolved
C00325,58,43,67.2,2920.24,0,month-to-month,none,0,escalated
C00326,22,15,70.32,957.42,0,one-year,fiber,1,cancelled
C00327,38,35,34.93,1200.89,2,month-to-month,none,0,resolved
C00328,48,10,85.4,949.14,1,month-to-month,none,1,cancelled
C00329,20,28,57.25,1564.2,0,two-year,fiber,1,cancelled
C00330,62,32,59.18,1853.1,1,two-year,dsl,0,resolved
C00331,54,8,69.31,554.76,1,one-year,fiber,1,cancelled
C00332,42,9,72.82,598.52,1,month-to-month,fiber,0,resolved
C00333,26,22,82.34,1854.7,2,one-year,dsl,1,escalated
C00334,52,32,68.61,2168.85,0,one-year,none,0,escalated
C00335,69,67,77.87,5150.84,1,one-year,fiber,0,no_contact
C00336,50,30,26.53,792.83,2,month-to-month,dsl,0,resolved
C00337,50,6,,417.07,2,one-year,dsl,0,no_contact
C00338,30,16,78.95,1281.89,1,one-year,dsl,0,resolved
C00339,52,3,101.69,275.79,0,month-to-month,dsl,1,escalated
C00340,51,15,114.01,1739.58,1,month-to-month,fiber,1,cancelled
C00341,39,15,41.85,613.2,1,month-to-month,fiber,1,unresolved
C00342,45,14,27.82,330.98,2,one-year,dsl,0,resolved
C00343,19,19,116.38,2163.63,0,month-to-month,fiber,1,unresolved
C00344,44,31,75.34,2335.5,1,month-to-month,dsl,0,resolved
C00345,38,23,86.55,2000.45,0,two-year,none,0,resolved
C00346,33,57,115.5,6583.12,2,month-to-month,fiber,0,resolved
C00347,52,10,88.31,,1,one-year,fiber,1,cancelled
C00348,28,35,78.25,2694.47,0,month-to-month,dsl,0,resolved
C00349,72,10,33.01,336.34,0,month-to-month,fiber,1,unresolved
C00350,75,45,64.7,2842.2,2,month-to-month,fiber,1,cancelled
C00351,41,5,74.43,388.13,3,month-to-month,dsl,1,unresolved
C00352,51,24,92.93,2220.15,2,one-year,fiber,1,unresolved
C00353,55,19,67.86,1277.79,0,month-to-month,dsl,1,cancelled
C00354,51,16,91.14,1462.84,1,month-to-month,dsl,1,cancelled
C00355,68,12,54.01,,0,month-to-month,fiber,1,unresolved
C00356,32,16,82.1,1343.93,1,one-year,dsl,1,cancelled
C00357,18,42,61.98,2660.84,1,one-year,dsl,0,resolved
C00358,51,36,100.52,3698.21,4,month-to-month,dsl,1,cancelled
C00359,49,14,73.94,981.87,1,one-year,dsl,0,resolved
C00360,41,28,51.63,1460.67,0,month-to-month,fiber,0,no_contact
C00361,76,7,93.54,662.75,0,one-year,dsl,1,unresolved
C00362,30,5,,508.83,0,month-to-month,none,1,escalated
C00363,27,17,40.91,668.37,0,,dsl,1,cancelled
C00364,58,22,58.66,1217.45,2,month-to-month,fiber,0,no_contact
C00365,69,14,32.63,452.25,0,month-to-month,fiber,0,no_contact
C00366,37,29,103.53,2991.32,1,month-to-month,fiber,1,unresolved
C00367,33,5,83.28,,1,one-year,fiber,1,cancelled
C00368,63,53,75.71,4068.43,1,two-year,fiber,0,resolved
C00369,54,9,98.72,867.94,1,one-year,fiber,1,cancelled
C00370,34,29,60.27,1775.65,3,two-year,fiber,1,cancelled
C00371,63,28,78.67,2187.54,1,month-to-month,dsl,1,cancelled
C00372,52,23,35.82,763.5,1,one-year,fiber,1,cancelled
C00373,54,18,106.14,1866.01,0,one-year,dsl,0,no_contact
C00374,56,4,80.22,318.72,1,one-year,none,0,no_contact
C00375,24,20,88.11,1715.13,1,month-to-month,dsl,1,cancelled
C00376,42,19,90.59,1713.74,1,two-year,none,0,no_contact
C00377,47,13,,1156.36,2,one-year,fiber,0,resolved
C00378,42,16,43.66,728.04,1,month-to-month,fiber,1,cancelled
C00379,36,14,105.82,1428.73,0,month-to-month,dsl,0,resolved
C00380,45,41,71.11,2927.34,0,month-to-month,fiber,0,escalated
C00381,82,26,96.6,2500.19,0,two-year,dsl,1,escalated
C00382,27,29,63.22,1854.17,2,one-year,dsl,0,resolved
C00383,43,13,46.97,592.21,2,two-year,none,0,no_contact
C00384,35,14,35.52,548.93,0,one-year,none,1,escalated
C00385,37,13,79.91,1030.53,0,one-year,fiber,0,resolved
C00386,71,6,83.15,513.57,4,two-year,fiber,1,cancelled
C00387,18,16,56.04,953.76,2,month-to-month,dsl,1,cancelled
C00388,44,13,65.65,828.65,0,month-to-month,dsl,1,cancelled
C00389,46,18,49.03,951.27,0,month-to-month,none,0,resolved
C00390,60,59,103.99,6170.94,1,two-year,satellite,0,resolved
C00391,43,17,111.47,1942.08,1,month-to-month,none,1,cancelled
C00392,62,2,76.91,194.94,2,two-year,dsl,0,resolved
C00393,43,17,,1403.42,2,month-to-month,fiber,1,escalated
C00394,68,24,71.46,1695.83,0,month-to-month,none,0,resolved
C00395,64,38,80.11,3068.5,0,one-year,fiber,0,resolved
C00396,59,15,86.9,1329.64,1,month-to-month,dsl,1,cancelled
C00397,36,55,103.99,5692.01,1,one-year,fiber,0,no_contact
C00398,49,35,59.5,2046.23,3,month-to-month,fiber,1,escalated
C00399,65,8,104.08,804.98,0,month-to-month,fiber,1,cancelled
C00400,76,21,21.11,436.68,2,month-to-month,fiber,1,cancelled
C00401,26,4,84.34,418.19,1,month-to-month,dsl,1,cancelled
C00402,60,4,98.61,446.54,1,one-year,dsl,0,no_contact
C00403,38,42,48.44,2016.5,1,one-year,dsl,0,resolved
C00404,18,19,55.87,1082.78,3,one-year,fiber,0,resolved
C00405,43,18,49.43,904.26,0,month-to-month,dsl,0,resolved
C00406,-1,12,65.32,,1,month-to-month,none,1,cancelled
C00407,18,10,68.17,691.63,1,two-year,fiber,1,escalated
C00408,67,6,33.22,218.52,1,one-year,dsl,1,cancelled
C00409,43,23,51.77,1258.3,0,month-to-month,dsl,1,cancelled
C00410,36,13,18.0,159.41,1,two-year,fiber,0,no_contact
C00411,45,7,56.34,451.67,1,month-to-month,fiber,0,resolved
C00412,51,10,86.55,,0,one-year,fiber,1,cancelled
