house_id,area_sqft,bedrooms,quality_score,age_years,neighbourhood,has_garage,price
H00164,1324,2,7.0,11.0,central,1,382500
H00165,1976,3,3.0,34.0,central,0,227500
H00166,2661,3,1.0,35.0,central,1,172200
H00167,1310,3,5.0,5.0,suburb,1,253400
H00168,4671,8,2.0,7.0,central,1,939200
H00169,3313,5,2.0,9.0,industrial,1,411800
H00170,2321,4,7.0,11.0,central,1,405500
H00171,1900,3,2.0,59.0,central,1,151400
H00172,1103,2,7.0,30.0,suburb,1,207100
H00173,827,2,3.0,44.0,industrial,1,81300
H00174,1640,2,5.0,16.0,suburb,1,174400
H00175,1154,2,7.0,25.0,suburb,1,349700
H00176,610,1,3.0,7.0,suburb,1,110800
H00177,1768,2,1.0,27.0,suburb,1,144100
H00178,2602,5,5.0,8.0,central,1,566600
H00179,1753,2,8.0,6.0,suburb,0,331800
H00180,1315,3,,14.0,suburb,1,249500
H00181,1122,2,,23.0,suburb,1,199100
H00182,1240,2,9.0,28.0,central,0,494500
H00183,1546,3,9.0,20.0,suburb,1,418800
H00184,1510,2,,23.0,suburb,1,390200
H00185,1356,3,9.0,31.0,riverside,0,377000
H00186,1099,3,8.0,61.0,industrial,0,157800
H00187,981,1,6.0,27.0,suburb,0,191000
H00188,2264,4,6.0,5.0,industrial,0,457100
H00189,679,1,4.0,25.0,central,0,116100
H00190,2921,4,8.0,9.0,central,0,683000
H00191,879,1,10.0,28.0,riverside,0,350800
H00192,1112,1,8.0,2.0,riverside,1,431800
H00193,651,1,8.0,30.0,suburb,1,238400
H00194,1997,2,2.0,4.0,industrial,1,132100
H00195,2334,3,9.0,12.0,riverside,0,1156300
H00196,1119,1,3.0,38.0,suburb,1,117200
H00197,1012,2,2.0,8.0,suburb,1,158300
H00198,1772,1,7.0,14.0,industrial,0,271200
H00199,1143,1,7.0,19.0,central,0,261900
H00200,2063,3,1.0,9.0,suburb,1,140600
H00201,1602,3,7.0,19.0,suburb,0,392700
H00202,1045,3,1.0,32.0,central,1,138000
H00203,1357,2,10.0,31.0,central,1,361000
H00204,3194,5,6.0,19.0,suburb,0,437800
H00205,1228,2,4.0,61.0,industrial,1,114300
H00206,1342,3,7.0,19.0,suburb,0,219400
H00207,1069,2,6.0,8.0,suburb,1,256100
H00208,1373,1,6.0,6.0,central,0,326300
H00209,1629,2,,2.0,central,0,127300
H00210,1271,2,5.0,18.0,suburb,1,203100
H00211,1137,2,5.0,33.0,central,1,227200
H00212,2205,4,6.0,11.0,central,1,308200
H00213,1251,1,9.0,10.0,central,0,354400
H00214,1637,3,,21.0,industrial,1,210200
H00215,1205,2,8.0,6.0,central,1,333600
H00216,871,3,5.0,33.0,central,1,195100
H00217,2545,5,4.0,23.0,suburb,0,282800
H00218,1271,1,9.0,13.0,riverside,1,432900
H00219,1961,4,,22.0,suburb,1,528500
H00220,2695,4,4.0,13.0,suburb,0,398900
H00221,1820,4,7.0,7.0,central,1,464400
H00222,1129,2,10.0,7.0,riverside,0,898500
H00223,1538,2,4.0,36.0,suburb,0,122500
H00224,1815,4,3.0,19.0,suburb,1,202600
H00225,1498,3,9.0,49.0,suburb,0,273000
H00226,2084,2,8.0,14.0,suburb,0,434000
H00227,2003,4,1.0,17.0,suburb,0,167300
H00228,1143,1,4.0,33.0,suburb,1,169200
H00229,755,3,7.0,4.0,suburb,1,200900
H00230,2211,4,2.0,7.0,suburb,1,252300
H00231,1711,3,3.0,22.0,central,1,214000
H00232,3560,6,7.0,75.0,central,1,698700
H00233,780,1,2.0,,suburb,1,106700
H00234,2690,4,3.0,21.0,suburb,0,269800
H00235,1290,2,9.0,34.0,riverside,1,408100
H00236,1561,2,,7.0,suburb,1,287900
H00237,2238,3,1.0,44.0,suburb,1,137300
H00238,1996,4,4.0,36.0,suburb,1,187300
H00239,1416,2,5.0,17.0,riverside,0,484400
H00240,1294,2,10.0,27.0,riverside,1,829700
H00241,1444,3,6.0,16.0,suburb,1,277200
H00242,2286,4,7.0,14.0,central,0,562500
H00243,1536,3,1.0,8.0,suburb,0,161700
H00244,1730,3,6.0,29.0,riverside,1,283600
H00245,1200,2,4.0,11.0,riverside,1,247800
H00246,1224,3,8.0,16.0,suburb,1,325900
H00247,1114,3,7.0,13.0,central,1,375300
H00248,1856,3,5.0,23.0,industrial,1,223600
H00249,1412,3,6.0,32.0,central,1,258100
H00250,1636,4,5.0,36.0,suburb,1,234700
H00251,1298,2,9.0,25.0,central,0,506500
H00252,1504,2,9.0,11.0,suburb,0,477600
H00253,939,2,1.0,38.0,central,0,115200
H00254,1925,4,6.0,16.0,suburb,1,344800
H00255,1653,2,3.0,12.0,suburb,0,200600
H00256,1977,4,1.0,10.0,suburb,1,132100
H00257,1824,4,2.0,26.0,suburb,1,133000
H00258,729,1,6.0,15.0,central,0,271800
H00259,2051,3,2.0,27.0,riverside,1,268200
H00260,2637,4,4.0,23.0,suburb,0,254200
H00261,2719,4,4.0,22.0,suburb,1,262200
H00262,1377,2,6.0,19.0,suburb,1,213200
H00263,2315,4,5.0,9.0,riverside,1,477400
H00264,1157,2,8.0,33.0,suburb,1,261700
H00265,1575,4,4.0,13.0,central,1,315600
H00266,1533,3,1.0,47.0,central,1,114000
H00267,2423,4,10.0,26.0,industrial,1,798000
H00268,3280,5,7.0,20.0,riverside,0,795600
H00269,1257,1,1.0,57.0,industrial,0,80000
H00270,1389,2,5.0,16.0,suburb,1,257500
H00271,2176,4,6.0,39.0,suburb,1,387900
H00272,1511,2,8.0,19.0,suburb,0,305600
H00273,1163,3,5.0,11.0,suburb,1,153400
H00274,1934,2,8.0,35.0,industrial,1,294000
H00275,1756,3,9.0,8.0,central,1,646800
H00276,1953,4,5.0,41.0,central,1,270000
H00277,2525,4,8.0,26.0,suburb,1,480400
H00278,1072,2,6.0,8.0,central,1,297300
H00279,1940,4,6.0,23.0,suburb,1,399000
H00280,1533,3,6.0,7.0,suburb,0,301000
H00281,2125,3,6.0,59.0,riverside,0,434300
H00282,2095,4,8.0,27.0,central,1,501800
H00283,1481,1,8.0,26.0,riverside,1,465900
H00284,717,2,10.0,13.0,suburb,1,405200
H00285,1093,2,9.0,26.0,riverside,1,535500
H00286,2125,5,4.0,19.0,riverside,1,406200
H00287,1569,3,6.0,30.0,central,1,341300
H00288,1432,3,4.0,5.0,suburb,0,231000
H00289,1081,2,6.0,26.0,riverside,0,312800
H00290,1142,2,7.0,36.0,riverside,1,443000
H00291,855,2,9.0,10.0,suburb,1,473100
H00292,1020,3,1.0,23.0,central,1,100100
H00293,1278,2,2.0,20.0,central,1,173900
H00294,1193,2,7.0,50.0,central,1,274300
H00295,2551,4,4.0,6.0,suburb,0,253100
H00296,1716,3,3.0,19.0,suburb,0,210200
H00297,1509,3,5.0,15.0,industrial,1,227000
H00298,1191,1,5.0,30.0,central,1,285400
H00299,1969,3,4.0,22.0,suburb,0,245800
H00300,1634,3,5.0,29.0,riverside,1,404100
H00301,1456,3,3.0,35.0,central,1,159300
H00302,1914,3,9.0,26.0,suburb,0,451600
H00303,1216,2,9.0,48.0,central,1,296900
H00304,1558,2,1.0,40.0,riverside,0,124200
H00305,2623,5,3.0,11.0,industrial,1,207900
H00306,1166,2,9.0,51.0,suburb,1,279000
H00307,1540,1,9.0,24.0,suburb,0,471500
H00308,3426,5,10.0,17.0,suburb,1,943900
H00309,2120,4,3.0,,central,0,295000
H00310,1798,3,,42.0,central,0,367300
H00311,1118,3,9.0,11.0,central,1,445700
H00312,1855,3,10.0,33.0,riverside,0,648200
H00313,1824,3,3.0,25.0,central,0,191800
H00314,737,2,6.0,28.0,suburb,1,249700
H00315,837,1,1.0,45.0,suburb,1,107700
H00316,1814,3,1.0,27.0,suburb,1,154900
H00317,1238,2,6.0,37.0,suburb,1,169200
H00318,1488,3,,18.0,central,1,311900
H00319,1120,1,4.0,26.0,suburb,1,148500
H00320,1786,3,4.0,9.0,suburb,1,254800
H00321,1010,3,5.0,3.0,central,1,330500
H00322,1624,3,,26.0,central,1,353300
H00323,1426,3,9.0,12.0,industrial,0,318000
H00324,2554,4,,19.0,industrial,0,330800
H00325,1483,2,6.0,35.0,central,0,357900
H00326,1610,2,1.0,5.0,suburb,1,109700
H00327,2486,6,5.0,16.0,suburb,0,287700
H00328,1671,3,8.0,23.0,central,0,404200
H00329,1409,1,7.0,9.0,suburb,1,435700
H00330,1125,2,8.0,22.0,riverside,1,347000
H00331,1725,2,9.0,9.0,riverside,1,625500
H00332,646,1,4.0,10.0,riverside,1,183200
H00333,2185,4,10.0,35.0,central,1,742700
H00334,2222,4,8.0,63.0,suburb,1,393000
H00335,1401,4,1.0,14.0,suburb,1,109700
H00336,1294,3,6.0,77.0,central,0,188800
H00337,1782,3,6.0,28.0,suburb,1,413000
H00338,1360,1,1.0,49.0,suburb,1,116800
H00339,1143,1,10.0,57.0,suburb,1,229600
H00340,1971,3,1.0,10.0,suburb,1,150500
H00341,1752,3,2.0,4.0,suburb,0,190800
H00342,693,1,4.0,63.0,central,0,142700
H00343,2031,4,2.0,7.0,suburb,1,140300
H00344,880,1,5.0,15.0,industrial,0,100500
H00345,982,3,3.0,34.0,suburb,1,133200
H00346,1532,2,,21.0,suburb,1,189700
H00347,2006,3,3.0,19.0,central,1,346800
H00348,1717,4,9.0,19.0,suburb,1,476900
H00349,1290,3,9.0,10.0,industrial,1,267800
H00350,1145,1,6.0,25.0,suburb,1,203600
H00351,1209,1,3.0,11.0,riverside,1,212500
H00352,1227,1,3.0,9.0,suburb,1,167200
H00353,2239,4,,18.0,central,1,353500
H00354,1357,1,1.0,18.0,central,0,126500
H00355,1125,2,7.0,15.0,central,0,384500
H00356,1472,2,5.0,7.0,suburb,1,189600
H00357,1289,3,,61.0,suburb,0,183000
H00358,2359,5,3.0,1.0,central,1,519000
H00359,1670,3,8.0,37.0,central,0,413500
H00360,867,1,6.0,,industrial,0,158700
H00361,1983,4,1.0,32.0,suburb,0,164900
H00362,1637,3,9.0,60.0,suburb,1,363400
H00363,1257,2,1.0,27.0,riverside,0,160000
H00364,1261,3,9.0,15.0,industrial,1,383800
H00365,1324,2,4.0,14.0,central,0,196100
H00366,1578,2,2.0,17.0,suburb,1,161500
H00367,1140,1,3.0,36.0,industrial,1,126800
H00368,1899,4,7.0,8.0,riverside,0,561400
H00369,1036,1,4.0,9.0,suburb,1,124100
H00370,1605,2,3.0,31.0,suburb,1,177300
H00371,2292,4,2.0,9.0,central,0,247400
H00372,1736,2,9.0,43.0,suburb,0,298900
H00373,2945,5,10.0,15.0,industrial,1,692800
H00374,1990,4,4.0,31.0,riverside,0,321500
H00375,2379,4,,47.0,riverside,0,258700
H00376,2247,5,7.0,26.0,industrial,1,288500
H00377,1697,2,1.0,28.0,suburb,1,109900
H00378,2410,3,4.0,10.0,suburb,1,315400
H00379,1722,4,7.0,27.0,central,1,385100
H00380,1369,2,10.0,12.0,suburb,1,406600
H00381,2956,4,9.0,5.0,riverside,1,1019800
H00382,1837,2,1.0,,suburb,1,189700
H00383,1707,2,1.0,51.0,industrial,1,94000
H00384,1292,2,8.0,41.0,riverside,1,365200
H00385,1561,2,8.0,9.0,central,0,491700
H00386,1618,3,7.0,32.0,riverside,0,428000
H00387,2933,5,4.0,33.0,suburb,1,299200
H00388,1971,3,1.0,74.0,riverside,1,188400
H00389,1600,1,1.0,10.0,suburb,0,141100
H00390,1966,3,9.0,3.0,central,1,770300
H00391,1090,2,3.0,,suburb,0,107100
H00392,1020,3,4.0,23.0,suburb,0,213300
H00393,1285,1,2.0,48.0,suburb,1,120200
H00394,2865,5,2.0,63.0,central,0,215100
H00395,2010,3,6.0,29.0,central,1,471200
H00396,2025,3,9.0,21.0,central,0,600200
H00397,2119,5,2.0,39.0,central,0,187300
H00398,2204,3,10.0,12.0,central,1,680800
H00399,3609,5,2.0,5.0,suburb,0,382300
H00400,1849,4,2.0,16.0,central,1,263500
H00401,1667,4,2.0,25.0,central,1,150000
H00402,1275,2,1.0,47.0,suburb,1,91500
H00403,1805,2,3.0,3.0,suburb,0,195200
H00404,1047,2,2.0,14.0,suburb,1,120000
H00405,1869,3,4.0,23.0,riverside,0,348600
H00406,1230,2,8.0,37.0,industrial,0,199300
H00407,2070,3,4.0,47.0,central,1,274800
H00408,2947,3,5.0,6.0,suburb,0,465000
H00409,1731,3,5.0,62.0,industrial,1,159400
H00410,1454,3,5.0,47.0,suburb,1,200000
H00411,871,2,1.0,45.0,suburb,0,99300
H00412,1060,2,3.0,7.0,suburb,0,162900
H00413,1180,2,10.0,7.0,central,1,505200
H00414,1265,2,9.0,8.0,riverside,1,616800
H00415,1413,2,5.0,11.0,industrial,0,219700
H00416,927,2,3.0,27.0,suburb,1,183300
H00417,1982,5,7.0,25.0,suburb,1,311200
H00418,1563,3,7.0,26.0,industrial,1,307300
H00419,1907,1,4.0,19.0,suburb,1,232400
H00420,655,1,1.0,14.0,riverside,1,121800
H00421,2203,4,3.0,30.0,central,0,339400
H00422,1383,3,,15.0,suburb,1,125200
H00423,836,3,10.0,46.0,central,0,377700
H00424,1555,3,,25.0,central,0,133200
H00425,2547,5,2.0,25.0,central,1,172400
H00426,1590,4,7.0,23.0,suburb,1,338400
H00427,978,2,6.0,14.0,suburb,1,168100
H00428,1733,2,5.0,12.0,suburb,1,182100
H00429,1637,2,3.0,7.0,suburb,0,235300
H00430,2855,4,7.0,15.0,riverside,1,875000
H00431,1208,2,8.0,14.0,central,1,349000
H00432,1582,2,1.0,,suburb,0,113700
H00433,999,3,3.0,20.0,suburb,1,134000
H00434,2063,4,,,central,0,221800
H00435,2243,4,6.0,27.0,riverside,1,658600
H00436,2307,4,2.0,36.0,industrial,0,137500
H00437,1598,1,8.0,13.0,suburb,1,412400
H00438,3210,4,2.0,12.0,central,1,336100
H00439,2534,4,10.0,22.0,suburb,1,693500
H00440,1271,2,6.0,16.0,central,0,310400
H00441,1296,1,8.0,19.0,central,1,426900
H00442,1706,3,4.0,11.0,industrial,0,163300
H00443,1482,3,3.0,13.0,suburb,1,125300
H00444,2409,3,4.0,8.0,riverside,1,277900
H00445,1406,1,2.0,40.0,suburb,1,152100
H00446,1862,3,9.0,38.0,central,0,456500
H00447,1738,2,7.0,24.0,suburb,0,322500
H00448,1324,3,10.0,28.0,riverside,1,581700
H00449,1965,4,3.0,58.0,suburb,1,176100
H00450,1724,2,2.0,,suburb,0,138200
H00451,1611,2,2.0,20.0,central,0,175800
H00452,1328,2,4.0,13.0,suburb,1,171400
H00453,1445,3,9.0,31.0,industrial,0,353300
H00454,1853,3,9.0,17.0,suburb,1,581300
H00455,2268,3,10.0,15.0,suburb,1,649700
H00456,1444,2,4.0,19.0,central,1,354700
H00457,1941,3,6.0,36.0,suburb,1,295300
H00458,1826,3,7.0,24.0,industrial,1,213000
H00459,1365,3,9.0,13.0,suburb,1,643600
H00460,2453,4,8.0,63.0,central,1,557300
H00461,952,2,5.0,9.0,industrial,0,133300
H00462,2174,5,9.0,32.0,central,1,593300
H00463,1532,3,8.0,14.0,suburb,0,315200
H00464,1015,4,8.0,19.0,riverside,0,296200
H00465,881,2,4.0,22.0,riverside,0,210500
H00466,1000,1,6.0,7.0,central,0,308400
H00467,1276,1,1.0,28.0,suburb,1,122600
H00468,3736,6,8.0,42.0,riverside,1,1635400
H00469,1016,2,8.0,37.0,riverside,0,330600
H00470,3522,5,7.0,14.0,riverside,1,1042400
H00471,857,1,4.0,37.0,central,0,206900
H00472,1456,3,3.0,22.0,suburb,1,180000
H00473,1185,2,7.0,62.0,central,1,264800
H00474,2243,4,4.0,28.0,suburb,1,403100
H00475,2727,5,1.0,9.0,central,1,246900
H00476,11366,2,1.0,59.0,central,0,502820
H00477,2059,3,7.0,7.0,riverside,0,479100
H00478,1019,4,5.0,12.0,suburb,0,169400
H00479,1331,2,1.0,24.0,suburb,1,123500
H00480,628,2,3.0,5.0,riverside,0,149900
H00481,1291,3,,39.0,riverside,1,292000
H00482,804,1,7.0,6.0,suburb,1,211200
H00483,1738,3,10.0,50.0,suburb,1,396200
H00484,1888,4,5.0,33.0,riverside,0,334600
H00485,1134,2,1.0,21.0,central,1,147400
H00486,1291,2,5.0,,central,1,323300
H00487,1106,1,8.0,18.0,central,1,335600
H00488,1353,3,3.0,19.0,central,1,185700
H00489,1820,4,5.0,18.0,suburb,1,207600
H00490,1214,2,7.0,7.0,industrial,1,252000
H00491,1561,3,3.0,21.0,central,0,171900
H00492,1467,2,9.0,30.0,central,0,543300
H00493,1384,2,5.0,41.0,suburb,1,175100
H00494,1505,2,4.0,30.0,suburb,0,219000
H00495,1526,3,7.0,6.0,central,1,370500
H00496,2715,5,3.0,20.0,suburb,1,294300
H00497,1570,3,5.0,12.0,suburb,1,182100
H00498,1413,1,6.0,48.0,riverside,1,256500
H00499,1739,3,4.0,17.0,riverside,1,263700
H00500,1751,3,5.0,28.0,industrial,0,222800
H00501,1099,2,5.0,7.0,central,1,186100
H00502,968,1,7.0,36.0,riverside,1,276200
H00503,1470,3,4.0,32.0,central,1,278200
H00504,2489,5,5.0,17.0,suburb,1,359600
H00505,1520,3,1.0,10.0,central,1,215800
H00506,2520,4,1.0,14.0,central,1,207400
H00507,1757,3,5.0,40.0,riverside,1,315600
H00508,2834,6,3.0,24.0,central,1,307200
H00509,1975,3,2.0,15.0,suburb,1,142800
H00510,1232,1,2.0,26.0,suburb,1,122700
H00511,2396,3,3.0,28.0,central,1,260500
H00512,933,1,2.0,32.0,suburb,1,123000
H00513,1523,4,7.0,7.0,central,1,392800
H00514,1812,2,1.0,,suburb,0,124400
H00515,934,4,5.0,44.0,suburb,1,101300
H00516,1640,3,6.0,18.0,central,1,300300
H00517,1060,1,2.0,19.0,industrial,0,83900
H00518,1505,4,,55.0,central,1,139400
H00519,1102,1,5.0,10.0,suburb,1,148600
H00520,1064,2,4.0,26.0,suburb,0,149300
H00521,1634,3,5.0,24.0,riverside,1,335500
H00522,2807,4,,41.0,suburb,1,163200
H00523,1352,2,6.0,8.0,suburb,0,274100
H00524,1556,2,6.0,23.0,riverside,0,381400
H00525,1553,1,4.0,22.0,suburb,1,168700
H00526,1108,1,9.0,33.0,central,1,283000
H00527,906,2,2.0,31.0,riverside,1,159100
H00528,2779,4,5.0,12.0,central,1,415800
H00529,1548,4,7.0,85.0,suburb,1,181600
H00530,1440,2,9.0,26.0,suburb,0,376400
H00531,1978,4,9.0,24.0,central,1,539900
H00532,921,1,3.0,31.0,suburb,1,158300
H00533,906,1,10.0,21.0,central,1,474200
H00534,1199,3,4.0,48.0,suburb,1,136100
H00535,2429,3,9.0,10.0,riverside,1,875600
H00536,1813,2,7.0,8.0,riverside,1,610200
H00537,2552,5,7.0,15.0,riverside,0,800700
H00538,1740,3,2.0,50.0,central,1,202500
H00539,991,2,6.0,61.0,central,1,129300
H00540,2307,3,,12.0,industrial,1,231700
H00541,2840,4,3.0,8.0,riverside,1,546400
H00542,1004,1,5.0,24.0,central,0,228100
H00543,913,1,,9.0,central,1,276700
H00544,1976,2,1.0,,suburb,0,105500
H00545,2507,3,8.0,14.0,central,1,980700
H00546,2087,3,7.0,27.0,suburb,0,251400
H00547,2608,4,2.0,17.0,suburb,1,223100
H00548,1033,1,5.0,13.0,riverside,1,199400
H00549,3468,5,4.0,22.0,riverside,0,834400
H00550,1156,2,6.0,4.0,industrial,1,155200
H00551,2321,4,9.0,18.0,suburb,0,400500
H00552,2394,4,7.0,24.0,riverside,1,378500
H00553,2196,2,5.0,62.0,industrial,1,197900
H00554,1166,2,,44.0,suburb,1,366700
H00555,1972,3,4.0,21.0,riverside,1,326600
